time,gFx,gFy,gFz,TgF
0.558551718,0.0112,0.8816,0.4747,0.988
1.558720094,-0.0102,0.9002,0.4907,1.012
2.558984743,0.0001,0.8640,0.5095,0.990
3.559395754,0.0313,0.8987,0.5164,1.024
4.559760094,0.0036,0.8885,0.5468,1.030
5.560036787,-0.0012,0.9066,0.5565,1.050
6.565144982,-0.0074,0.8522,0.4546,0.953
7.560663049,-0.0122,0.8669,0.4989,0.987
8.561051681,0.0238,0.8478,0.4755,0.959
9.561554082,0.0252,0.8707,0.4509,0.968
10.561688645,0.0031,0.9598,0.5283,1.082
11.561966599,-0.0005,0.8991,0.5005,1.016
12.562411302,-0.0092,0.9090,0.5214,1.035
13.56289348,-0.0918,0.8957,0.4604,0.999
14.56284038,-0.0972,0.8684,0.4645,0.977
15.563344002,-0.1168,0.8615,0.4345,0.960
16.5637059,-0.1113,0.9254,0.4398,1.018
17.563802377,-0.0903,0.9449,0.4435,1.035
18.56889747,-0.0219,0.8769,0.3961,0.950
19.566878916,-0.0284,0.8790,0.4828,0.990
20.564822439,0.0638,0.9175,0.5120,1.039
21.565285737,0.0375,0.8018,0.5339,0.950
22.56564792,0.0162,0.8249,0.5957,1.004
23.565977063,0.0292,0.8858,0.5202,1.014
24.56635247,-0.0129,0.8674,0.6003,1.041
25.566654798,-0.0094,0.8906,0.4905,1.004
26.566969781,-0.0241,0.8813,0.4732,0.988
27.567569675,0.0086,0.9023,0.4700,1.004
28.567834975,-0.0084,0.9086,0.4831,1.016
29.568124323,-0.0250,0.9013,0.4920,1.014
30.571687515,-0.0285,0.8817,0.4717,0.987
31.570817805,-0.0110,0.8670,0.4650,0.971
32.569302262,-0.0065,0.9007,0.4842,1.010
33.569711768,-0.0182,0.9086,0.4920,1.020
34.57039463,-0.0377,0.9076,0.4871,1.018
35.570740333,-0.0402,0.8773,0.4830,0.989
36.571360777,-0.0305,0.8679,0.4495,0.965
37.57165399,0.0037,0.9330,0.4844,1.038
38.572202208,-0.0104,0.9286,0.4937,1.039
39.572498718,-0.0094,0.9261,0.4982,1.039
40.572639628,0.0151,0.8576,0.4163,0.940
41.572902527,-0.0551,0.8844,0.3832,0.953
42.573211569,-0.0595,0.9386,0.3755,1.000
43.57425995,-0.1104,0.9864,0.3144,1.030
44.573856264,-0.0747,0.9339,0.5047,1.051
45.586948509,-0.0362,0.9085,0.5228,1.036
46.574254824,0.0403,0.8504,0.5449,0.997
47.574487206,-0.0296,0.8610,0.4774,0.972
48.574606713,0.0053,0.8572,0.5626,1.012
49.574888941,-0.0050,0.8825,0.5361,1.019
50.575121078,0.0056,0.8867,0.4986,1.004
51.575232976,-0.0023,0.8887,0.5036,1.008
52.575936102,-0.0160,0.8647,0.4853,0.979
53.576264105,0.0055,0.8822,0.5061,1.004
54.576581733,0.0055,0.9086,0.5084,1.028
55.576746609,-0.0112,0.8689,0.4927,0.986
56.577042834,-0.0308,0.9182,0.4564,1.013
57.577359119,-0.0645,0.9435,0.4446,1.032
58.577536365,-0.0704,0.8878,0.4290,0.976
59.577751779,-0.1935,0.8163,0.5444,0.988
60.578091257,-0.3368,0.8824,0.5566,1.085
61.578204498,-0.2077,0.9280,0.5179,1.071
62.578367991,-0.2269,0.8361,0.4807,0.979
63.578711172,-0.1648,0.8587,0.3824,0.943
64.579420401,-0.0876,0.9534,0.4200,1.033
65.579559155,0.0361,0.9711,0.5350,1.096
66.593034945,-0.0291,0.9035,0.4456,0.995
67.579910881,0.0749,0.8275,0.3626,0.893
68.580227654,-0.0016,1.0057,0.4964,1.109
69.580563877,-0.1096,0.8508,0.4507,0.957
70.580914708,-0.0392,0.8792,0.5122,1.005
71.581372024,0.0302,0.8183,0.4174,0.906
72.581684687,0.0430,0.8706,0.4403,0.963
73.581890092,0.0790,0.8846,0.5804,1.047
74.58208748,0.0115,0.8479,0.5253,0.984
75.582376665,-0.0060,0.9124,0.5249,1.039
76.582819496,-0.0411,0.8162,0.5121,0.951
77.58328788,-0.1370,0.8476,0.5521,1.008
78.592166461,-0.2713,0.8809,0.4972,1.036
79.583799966,-0.2889,0.8667,0.4744,1.018
80.58413037,-0.2382,0.9681,0.5953,1.149
81.584519897,-0.1422,0.8388,0.4796,0.964
82.584996989,-0.0148,0.8631,0.4921,0.980
83.585434652,-0.0269,0.8988,0.5031,1.017
84.585951742,0.0228,0.9071,0.5170,1.031
85.58611845,-0.0140,0.8586,0.4254,0.945
86.586351117,-0.0350,0.8805,0.4039,0.957
87.58688489,-0.0887,0.9270,0.3807,0.994
88.595769534,-0.3662,0.9643,0.3535,1.081
89.587556441,-0.0150,0.8718,0.4116,0.951
90.588036747,0.3267,1.0130,0.3749,1.115
91.588289189,0.1768,1.0223,0.3081,1.070
92.588591842,-0.5049,0.8585,0.5881,1.147
93.589035568,-0.0043,0.9265,0.4058,0.999
94.589255824,0.0329,0.9124,0.4570,1.008
95.590000861,0.0139,0.8167,0.4918,0.940
96.589852587,-0.1686,0.7561,0.5893,0.961
97.590063118,0.4295,0.7800,0.4163,0.969
98.59023247,0.3648,0.9113,0.5865,1.129
99.590621224,-0.2364,0.6666,0.7514,1.020
100.593707325,0.1273,0.7195,0.7597,1.040
101.591091847,0.0716,0.7926,0.8455,1.147
102.591566945,0.0020,0.8720,0.5475,1.016
103.591777761,0.0052,0.8690,0.5061,0.992
104.592746308,-0.0295,0.8563,0.4537,0.957
105.592904471,-0.0222,0.8529,0.4692,0.961
106.59330006,-0.0300,0.8689,0.4429,0.963
107.593594332,-0.0295,0.8587,0.4415,0.953
108.593879122,-0.0478,0.9092,0.5254,1.038
109.594055352,0.0110,0.8875,0.4743,0.993
110.594338311,-0.0325,0.8719,0.4360,0.963
111.594447687,-0.0493,0.8950,0.5255,1.026
112.594609471,-0.0231,0.8573,0.4673,0.964
113.594904515,-0.0328,0.9081,0.4713,1.011
114.59634169,-0.0464,0.8823,0.5081,1.006
115.595961198,-0.0037,0.8919,0.4451,0.984
116.605575334,-0.0002,0.8948,0.4533,0.990
117.60521364,-0.0272,0.8615,0.4366,0.953
118.596539894,-0.0157,0.8973,0.5036,1.016
119.596967059,-0.0464,0.8822,0.5281,1.016
120.596901019,0.0007,0.8952,0.4490,0.988
121.597250548,-0.0120,0.9538,0.4437,1.039
122.597406147,-0.0358,0.8953,0.4705,0.999
123.597571512,-0.0090,0.9045,0.4641,1.004
124.59772581,-0.0411,0.8992,0.4851,1.010
125.598297832,-0.0340,0.8551,0.4377,0.948
126.59841091,-0.0100,0.8991,0.4738,1.003
127.598581443,-0.0023,0.8952,0.4456,0.987
128.598780906,-0.0552,0.8924,0.5355,1.029
129.604188011,-0.0228,0.8913,0.4672,0.994
130.602308902,0.0012,0.9171,0.4732,1.019
131.599433455,-0.0119,0.9118,0.4913,1.023
132.599625553,0.0182,0.8839,0.4579,0.982
133.599875757,-0.0057,0.8941,0.4481,0.987
134.600174138,-0.0004,0.8950,0.4457,0.987
135.600387151,-0.0382,0.8943,0.5067,1.016
136.601090928,-0.0504,0.8786,0.5044,1.001
137.601042426,-0.0427,0.8747,0.4854,0.988
138.601370999,-0.0490,0.8913,0.5034,1.012
139.601550972,-0.0296,0.8770,0.4742,0.984
140.601740507,0.0022,0.9093,0.4914,1.020
141.601948393,-0.0320,0.9020,0.4891,1.014
142.602924468,-0.0266,0.8897,0.4853,1.001
143.602807891,-0.0179,0.8956,0.4740,1.000
144.615107371,-0.0393,0.9040,0.4847,1.014
145.603487498,-0.0132,0.8855,0.5481,1.028
146.604201569,-0.0208,0.8785,0.4683,0.983
147.604868887,-0.0092,0.8936,0.4482,0.987
148.604572705,-0.0169,0.9127,0.4753,1.016
149.605248324,-0.0529,0.8860,0.5156,1.013
150.605086418,-0.0267,0.8760,0.4479,0.971
151.605639357,0.0080,0.9059,0.4768,1.011
152.605969923,0.0074,0.8853,0.4550,0.982
153.606079095,-0.0087,0.8799,0.4507,0.976
154.606406041,0.0211,0.8730,0.4502,0.969
155.606818883,0.0070,0.8789,0.4594,0.979
156.610824051,-0.0236,0.9069,0.5075,1.026
157.609025915,-0.0470,0.8879,0.5209,1.017
158.608350338,-0.0140,0.9107,0.4783,1.016
159.608637122,-0.0251,0.9045,0.5007,1.021
160.608953529,-0.0588,0.8820,0.4986,1.002
161.60939225,-0.0602,0.8805,0.4909,0.997
162.609748289,-0.0460,0.8943,0.5199,1.022
163.609883055,-0.0617,0.8835,0.5010,1.005
164.610304361,-0.0452,0.8961,0.4775,1.004
165.610595622,-0.0476,0.8800,0.5103,1.005
166.610938518,-0.0023,0.9034,0.4598,1.001
167.611099814,0.0025,0.8803,0.4478,0.975
168.611443686,0.0059,0.8911,0.4584,0.989
169.621851279,0.0054,0.8813,0.4522,0.977
170.611932009,-0.0617,0.8849,0.4937,1.002
171.612270348,-0.0181,0.8954,0.4010,0.969
172.612783084,-0.0565,0.9185,0.4399,1.007
173.613046675,-0.2039,1.0353,0.2076,1.065
174.613343022,-0.1038,0.9462,0.1373,0.952
175.613583135,0.0333,0.9519,0.6147,1.120
176.613813644,-0.1147,0.8416,0.5620,1.006
177.61404448,-0.3698,0.7601,0.7100,1.093
178.614561774,-0.4807,0.7639,0.6299,1.091
179.623756192,-0.1939,0.9870,0.4690,1.098
180.615593757,-0.1234,0.9624,0.3906,1.034
181.615618782,-0.0968,1.0706,0.3195,1.110
182.615895679,-0.2120,0.8555,0.1530,0.885
183.616059904,-0.0738,0.7479,0.4062,0.842
184.616403736,-0.1505,0.8123,0.3304,0.878
185.616719777,-0.2238,0.7190,0.3085,0.803
186.616900808,-0.0567,1.1019,0.3436,1.144
187.617317719,-0.1778,0.8559,0.3643,0.936
188.617601533,-0.1278,0.7465,0.4473,0.867
189.617813854,-0.0377,0.9007,0.4006,0.974
190.618200696,-0.1242,0.7872,0.5020,0.929
191.618322034,-0.0366,0.9196,0.5943,1.082
192.618318535,-0.1032,0.8681,0.6446,1.073
193.631786919,-0.1025,0.8715,0.4112,0.957
194.619238499,-0.0264,1.0445,0.5349,1.161
195.619566095,-0.0987,0.8999,0.2044,0.917
196.619864558,-0.3138,0.6773,0.3875,0.831
197.620162206,0.0638,0.7431,0.3270,0.801
198.620752254,0.0108,0.8230,0.1794,0.831
199.621103898,-0.1274,0.8459,0.5713,1.016
200.621316667,-0.1391,0.6961,0.6085,0.922
201.621577369,-0.1059,0.8313,0.5821,1.007
202.621696714,0.0233,1.0574,0.3871,1.114
203.621955707,0.0062,0.9084,0.3961,0.978
204.622389016,-0.0612,0.9714,0.3602,1.026
205.632175719,-0.1232,0.8174,0.5194,0.964
206.628116149,-0.0560,0.8329,0.4840,0.952
207.623226257,-0.0067,1.0183,0.6311,1.185
208.623882955,0.0732,0.7639,0.5061,0.905
209.624303447,-0.0429,0.8988,0.4533,0.995
210.624415346,-0.0631,0.8420,0.4041,0.924
211.624747784,-0.1079,0.9449,0.5482,1.085
212.625104434,-0.0854,0.8441,0.4529,0.949
213.625256045,-0.0360,0.8890,0.4880,1.002
214.625545881,-0.0484,0.9016,0.4036,0.976
215.625898299,0.0206,0.8650,0.4948,0.983
216.626162907,0.0059,0.8997,0.4649,1.000
217.626380803,-0.0852,0.6967,0.5378,0.871
218.626678492,0.0889,0.7747,0.5401,0.935
219.635447943,-0.0938,0.8214,0.5958,1.006
220.627538804,-0.0242,0.8383,0.5429,0.986
221.627820909,-0.2182,0.7580,0.5557,0.953
222.628110827,-0.0850,0.8928,0.4175,0.977
223.628348295,0.0974,0.9799,0.5609,1.120
224.629042794,-0.0735,0.8426,0.6765,1.070
225.629293405,0.0437,0.8164,0.5852,0.992
226.629687814,-0.0516,0.7966,0.6505,1.016
227.629898427,0.1334,0.7811,0.5979,0.978
228.630153961,-0.0090,0.7760,0.4381,0.878
229.630869701,-0.0039,0.8697,0.6293,1.060
230.631101757,-0.0697,0.8610,0.6461,1.065
231.632217073,0.0469,0.8106,0.6671,1.037
232.631821199,-0.0456,0.9179,0.5473,1.057
233.644378451,-0.0320,0.9040,0.6803,1.118
234.632707634,-0.0435,0.7922,0.4630,0.906
235.633050286,-0.0298,0.7979,0.6129,0.993
236.633455845,-0.0128,0.9297,0.5709,1.078
237.633771845,0.0778,0.8470,0.5747,1.013
238.634027664,0.0671,0.7870,0.5849,0.969
239.634526851,0.0200,0.7940,0.6449,1.009
240.634802852,0.0241,0.8255,0.5497,0.978
241.635285844,0.0580,0.7481,0.6544,0.982
242.635452715,-0.0534,0.8676,0.5711,1.027
243.635613645,-0.0052,0.8387,0.5195,0.973
244.635935422,-0.0482,0.8910,0.5090,1.014
245.637781085,-0.0356,0.8782,0.4886,0.993
246.636372639,-0.0468,0.8836,0.4959,1.001
247.636744872,-0.0444,0.8762,0.4857,0.990
248.637033243,-0.0749,0.8764,0.5321,1.015
249.637641887,-0.0454,0.8650,0.4804,0.978
250.638040365,-0.0472,0.8821,0.5003,1.002
251.638377117,-0.0585,0.8596,0.4912,0.979
252.638640301,-0.0414,0.8723,0.4896,0.988
253.638955406,-0.0501,0.8841,0.5178,1.013
254.639489464,-0.0856,0.8788,0.5292,1.017
255.639844974,-0.0458,0.8821,0.4964,1.000
256.640155928,-0.0351,0.8737,0.4823,0.986
257.640355025,-0.0419,0.8948,0.5041,1.015
258.645464523,-0.0764,0.8783,0.5175,1.009
259.643310593,-0.0575,0.8650,0.4927,0.984
260.641375575,-0.0871,1.1566,0.4827,1.244
261.641675624,-0.0818,0.8714,0.5297,1.010
262.642024909,-0.0473,0.8864,0.4920,1.002
263.642161791,-0.0370,0.8870,0.5007,1.006
264.642643888,-0.0638,0.8836,0.4965,1.003
265.642955574,-0.0439,0.8679,0.4795,0.980
266.643282398,-0.0731,0.8602,0.5162,0.993
267.643470549,-0.0483,0.8762,0.4892,0.992
268.643666839,-0.0488,0.8772,0.4906,0.993
269.643908091,-0.0823,0.8812,0.5263,1.017
270.644196503,-0.0585,0.8620,0.4888,0.980
271.654871308,-0.0618,0.8753,0.5189,1.006
272.644590832,-0.0530,0.8709,0.5297,1.008
273.644880627,-0.0653,0.8899,0.5164,1.018
274.645345797,-0.0488,0.8850,0.4882,0.999
275.645756483,-0.0507,0.8825,0.4950,1.000
276.646073337,-0.0730,0.8758,0.5307,1.014
277.646349176,-0.0837,0.8865,0.5233,1.020
278.646973891,-0.0682,0.8674,0.4957,0.989
279.647646784,-0.0424,0.8830,0.4852,0.995
280.647814672,-0.0375,0.8810,0.5004,1.001
281.647966202,-0.0761,0.9353,0.4903,1.046
282.650621558,-0.1182,0.9019,0.4171,0.989
283.648900692,-0.1759,0.9817,0.2126,1.009
284.663580665,-0.1715,1.0786,0.3244,1.128
285.64955263,-0.3149,0.9969,0.1690,1.050
286.649836037,-0.1913,1.0043,0.2602,1.044
287.650252175,-0.1376,1.0914,0.3929,1.157
288.650643574,-0.0258,0.9619,0.6356,1.140
289.650972106,-0.0463,0.7855,0.3520,0.850
290.651260844,-0.1319,0.9673,0.3928,1.041
291.651527975,-0.2382,0.9713,0.3702,1.056
292.651689271,-0.1331,0.9794,0.3314,1.031
293.651832175,-0.1085,0.9833,0.5407,1.115
294.652002586,0.0204,0.7151,0.3841,0.799
295.660775454,-0.0184,0.8422,0.4174,0.927
296.658326073,-0.0059,0.9888,0.4786,1.086
297.652830956,-0.0316,0.9333,0.5278,1.060
298.653187036,0.0052,1.0262,0.6001,1.175
299.653549219,-0.0272,1.0058,0.6680,1.194
300.653748886,-0.0847,0.8733,0.5659,1.031
301.653924098,-0.0941,0.9070,0.3445,0.963
302.654112209,-0.0279,1.0274,0.2840,1.055
303.654398627,0.0320,0.8520,0.4737,0.962
304.654738349,0.0845,0.8488,0.4068,0.932
305.655141466,-0.0991,0.7764,0.5122,0.923
306.65572541,0.0118,0.8386,0.4213,0.926
307.655920113,0.1556,1.1096,0.6433,1.278
308.667257231,0.0396,0.8175,0.5679,0.982
309.656790842,-0.0403,0.8903,0.5720,1.046
310.657047068,-0.0150,0.8568,0.4319,0.947
311.657390452,-0.1167,0.8242,0.4827,0.950
312.657864289,-0.0688,0.9204,0.4978,1.036
313.658284252,-0.0926,0.9041,0.3709,0.970
314.658483186,-0.1362,0.9253,0.4663,1.033
315.658835441,-0.0176,0.9043,0.5086,1.025
316.658958366,0.0607,0.8118,0.4584,0.921
317.659237867,-0.0303,0.8474,0.6547,1.058
318.659591871,-0.2815,1.0343,0.8985,1.386
319.6599178,-0.0809,0.8848,0.5255,1.019
320.660287714,-0.0799,0.7618,0.5708,0.942
321.660826207,-0.1041,0.8562,0.6300,1.055
322.661345413,-0.1428,0.9625,0.5295,1.095
323.673412146,-0.1886,0.9381,0.5425,1.088
324.661893917,-0.1007,0.8455,0.6413,1.053
325.662182776,-0.0819,0.8712,0.5670,1.030
326.662548581,0.0153,0.9216,0.4480,1.012
327.663074501,-0.0610,1.0267,0.6481,1.203
328.663476032,-0.0529,0.7821,0.4912,0.912
329.66373124,-0.1354,0.9743,0.5547,1.117
330.664072265,-0.0702,0.7932,0.4083,0.882
331.664393676,-0.1062,0.8927,0.5849,1.060
332.665117187,0.1868,0.7645,0.6099,0.981
333.665366171,-0.0383,0.9010,0.5934,1.066
334.668840781,0.0358,0.8039,0.6349,1.011
335.666704673,0.0599,0.8054,0.7088,1.061
336.666406618,-0.0614,0.7787,0.7157,1.046
337.666744143,-0.0131,0.7981,0.4393,0.898
338.66704171,0.0758,0.8233,0.6214,1.020
339.667496179,-0.0209,0.9365,0.5361,1.066
340.667801518,0.0367,0.8985,0.5986,1.067
341.668322758,-0.0016,0.8174,0.8127,1.139
342.668776087,0.0887,0.7621,1.0242,1.266
343.668887009,0.1159,0.6581,0.8472,1.065
344.669057013,0.0266,0.7911,0.6399,1.004
345.669179165,-0.0499,0.8827,0.4782,0.992
346.669410204,-0.0875,0.9032,0.4450,0.998
347.6746458,-0.1041,1.0449,0.2628,1.071
348.669890267,-0.0460,1.0854,0.2662,1.107
349.670198576,-0.1680,1.0000,0.2492,1.034
350.670631845,-0.2376,0.9622,0.1386,0.992
351.670866505,-0.2861,1.0053,0.3874,1.104
352.670945282,-0.0124,0.8919,0.4785,0.999
353.67111142,0.0528,0.7800,0.3043,0.826
354.671391612,-0.0754,1.0098,0.5596,1.144
355.671856619,0.0001,0.9301,0.5800,1.083
356.671843558,-0.0817,0.9026,0.4446,0.997
357.671999524,-0.0711,0.7561,0.4540,0.872
358.672405612,0.0267,0.8899,0.5247,1.020
359.672559461,-0.1816,0.9140,0.4628,1.029
360.672842258,-0.0699,1.0415,0.7704,1.284
361.681727065,0.0159,0.8860,0.4839,0.996
362.673184463,-0.0355,0.8332,0.4552,0.937
363.67330515,-0.0433,0.8097,0.4310,0.905
364.67362648,0.0900,0.8391,0.5191,0.977
365.673827042,-0.0951,0.8198,0.5656,0.988
366.674114966,0.1400,0.8064,0.5894,0.994
367.67466172,0.1241,0.9228,0.6323,1.111
368.674775449,0.0391,0.7133,0.6206,0.932
369.674724953,0.0540,0.7424,0.5390,0.905
370.674951475,-0.0350,0.8769,0.5689,1.033
371.675161559,0.0150,0.8079,0.5498,0.964
372.676586242,-0.0799,0.7598,0.5918,0.953
373.677019673,0.0160,0.8177,0.5443,0.969
374.677621399,-0.0415,0.7847,0.4039,0.871
375.677925924,-0.0018,0.8273,0.4591,0.933
376.678312399,0.0059,0.8603,0.5815,1.025
377.678644675,0.0065,0.7974,0.6273,1.001
378.678896466,-0.0850,0.8939,0.4909,1.011
